delta_phi_rad,chi_phi_emp_norm
-0.6492624817418906,0.7965299180241963
-0.6387905062299247,0.8028174751911145
-0.6283185307179587,0.8090169943749473
-0.6178465552059927,0.8151277957285542
-0.6073745796940268,0.821149209133704
-0.5969026041820608,0.8270805742745618
-0.5864306286700948,0.8329212407100994
-0.5759586531581288,0.838670567945424
-0.5654866776461629,0.844327925502015
-0.5550147021341969,0.8498926929868639
-0.5445427266222309,0.8553642601605066
-0.5340707511102649,0.8607420270039436
-0.5235987755982989,0.8660254037844386
-0.5131268000863329,0.8712138111201894
-0.5026548245743669,0.8763066800438636
-0.49218284906240095,0.8813034520649922
-0.48171087355043496,0.8862035792312147
-0.47123889803846897,0.8910065241883679
-0.460766922526503,0.8957117602394129
-0.4502949470145372,0.9003187714021934
-0.4398229715025712,0.9048270524660195
-0.4293509959906052,0.9092361090470685
-0.41887902047863923,0.9135454576426009
-0.40840704496667324,0.9177546256839811
-0.39793506945470725,0.9218631515885005
-0.38746309394274125,0.9258705848099947
-0.37699111843077526,0.9297764858882513
-0.36651914291880927,0.9335804264972017
-0.3560471674068433,0.9372819894918915
-0.3455751918948773,0.9408807689542255
-0.3351032163829113,0.944376370237481
-0.3246312408709453,0.9477684100095857
-0.3141592653589793,0.9510565162951535
-0.30368728984701354,0.9542403285162768
-0.29321531433504755,0.9573194975320672
-0.28274333882308156,0.9602936856769431
-0.27227136331111557,0.9631625667976581
-0.2617993877991496,0.9659258262890682
-0.2513274122871836,0.9685831611286311
-0.2408554367752176,0.9711342799096361
-0.2303834612632516,0.9735789028731603
-0.2199114857512856,0.9759167619387474
-0.20943951023931962,0.9781476007338056
-0.19896753472735362,0.9802711746217219
-0.18849555921538763,0.9822872507286887
-0.17802358370342164,0.9841956079692419
-0.16755160819145565,0.9859960370705049
-0.15707963267948966,0.9876883405951378
-0.14660765716752389,0.9892723329629883
-0.1361356816555579,0.9907478404714436
-0.1256637061435919,0.9921147013144778
-0.11519173063162591,0.9933727656003964
-0.10471975511965992,0.9945218953682733
-0.09424777960769393,0.99556196460308
-0.08377580409572793,0.9964928592495044
-0.07330382858376194,0.9973144772244581
