delta_omega,normalized_smoothed_mean
-0.23557795487144023,0.6845471059286885
-0.2388498709113214,0.6921431738704068
-0.24212178695120246,0.6996633405133652
-0.24539370299108365,0.7071067811865475
-0.2486656190309647,0.7144726796328033
-0.2519375350708459,0.7217602280983622
-0.25520945111072696,0.7289686274214113
-0.258481367150608,0.7360970871197341
-0.2617532831904892,0.7431448254773941
-0.2650251992303702,0.7501110696304593
-0.2682971152702514,0.7569950556517563
-0.2715690313101325,0.7637960286346419
-0.2748409473500137,0.7705132427757891
-0.2781128633898947,0.7771459614569707
-0.2813847794297759,0.7836934573258397
-0.28465669546965694,0.7901550123756902
-0.28792861150953813,0.7965299180241963
-0.2912005275494192,0.8028174751911143
-0.29447244358930036,0.8090169943749475
-0.29774435962918144,0.8151277957285541
-0.30101627566906247,0.8211492091337038
-0.30428819170894367,0.8270805742745617
-0.3075601077488247,0.8329212407100992
-0.3108320237887059,0.8386705679454239
-0.314103939828587,0.8443279255020149
-0.31737585586846817,0.8498926929868639
-0.3206477719083492,0.8553642601605065
-0.3239196879482304,0.8607420270039435
-0.3271916039881114,0.8660254037844385
-0.3304635200279926,0.8712138111201894
-0.3337354360678737,0.8763066800438635
-0.3370073521077549,0.8813034520649922
-0.3402792681476359,0.8862035792312146
-0.3435511841875171,0.8910065241883678
-0.34682310022739815,0.8957117602394128
-0.35009501626727924,0.9003187714021933
-0.3533669323071604,0.9048270524660195
-0.35663884834704146,0.9092361090470684
-0.35991076438692265,0.9135454576426009
-0.3631826804268037,0.917754625683981
-0.3664545964666849,0.9218631515885005
-0.3697265125065659,0.9258705848099946
-0.3729984285464471,0.9297764858882513
-0.3762703445863282,0.9335804264972016
-0.3795422606262094,0.9372819894918915
-0.3828141766660904,0.9408807689542253
-0.3860860927059716,0.944376370237481
-0.38935800874585264,0.9477684100095856
-0.39262992478573383,0.9510565162951535
-0.3959018408256149,0.9542403285162768
-0.39917375686549594,0.9573194975320671
-0.40244567290537714,0.960293685676943
-0.40571758894525817,0.963162566797658
-0.40898950498513936,0.9659258262890682
-0.41226142102502045,0.968583161128631
-0.4155333370649016,0.971134279909636
