time,cargo x,cargo y,cargo z,cargo alpha,cargo beta,cargo gamma,phi1,phi2,phi3,phi4,current1,current2,current3,current4,r1 x,r1 y,r1 z,r2 x,r2 y,r2 z,r3 x,r3 y,r3 z,r4 x,r4 y,r4 z
1197,-0.144785434,-0.398993433,0.073582701,0.000291982,0.000140951,0.461001843,4.719631586,1.6457662,3.114287438,4.557627173,0.555712792,0.529896321,0.638625408,0.470203629,0.513863444,0.567796469,1.002199173,-0.559735656,-1.392928839,-0.372333258,-0.836919069,-1.164763927,0.957153082,0.894017935,-2.401351452,-2.28708601
1198,-0.145265013,-0.399283528,0.073532745,0.000245893,4.98E-05,0.462977171,4.767241777,1.7057662,3.174287438,4.603028782,0.55657317,0.529958995,0.63816843,0.470407107,0.513793528,0.567714334,1.002126813,-0.556791902,-1.393231273,-0.373862773,-0.836869657,-1.164728999,0.957148552,0.892850339,-2.403256893,-2.287094116
1199,-0.145681486,-0.399486899,0.073490731,0.000182833,-8.02E-06,0.464780182,4.815401249,1.7657662,3.225717295,4.649924752,0.557286239,0.530120811,0.640151058,0.470640726,0.513720751,0.567628264,1.002209544,-0.553537428,-1.395537257,-0.377445012,-0.83681941,-1.164692879,0.957143188,0.890563011,-2.404186726,-2.287103176
1200,-0.146160886,-0.399636775,0.073472366,0.000137974,-7.49E-05,0.466596156,4.864159083,1.8257662,3.265717295,4.696774195,0.558016823,0.529762214,0.639855679,0.470846612,0.513644159,0.567538261,1.001722932,-0.549718678,-1.395959973,-0.378800273,-0.836767912,-1.164656639,0.957137227,0.888940871,-2.405354261,-2.287111759
1201,-0.146652043,-0.399719268,0.073456079,8.14E-05,-0.000138219,0.468303531,4.913553906,1.8857662,3.305717295,4.743624552,0.558679555,0.529372352,0.640489141,0.471027229,0.513563812,0.56744051,1.001107693,-0.547074735,-1.397146821,-0.380987108,-0.836716235,-1.164619207,0.957122386,0.886015654,-2.40598774,-2.287121296
1202,-0.14703472,-0.399752498,0.073420458,1.40E-05,-0.000117655,0.469895661,4.963612135,1.939684962,3.345717295,4.790519521,0.559184924,0.532088379,0.639885157,0.471286959,0.513477921,0.56733346,1.003828883,-0.540655613,-1.397125006,-0.382012039,-0.836663604,-1.16458118,0.957094252,0.883788347,-2.406821728,-2.287131071
1203,-0.147166178,-0.399769425,0.073368795,-5.13E-05,-1.70E-05,0.47131595,5.014345959,1.979684962,3.385717295,4.837497573,0.559435831,0.531977401,0.639802774,0.471712659,0.513380289,0.567213058,1.003830075,-0.538158417,-1.397315741,-0.383066297,-0.836607099,-1.164543033,0.957064211,0.88048327,-2.407478571,-2.287139416
1204,-0.147286877,-0.399773061,0.073341824,-8.49E-05,7.69E-06,0.472632945,5.065752279,2.019684962,3.425717295,4.884593895,0.559638657,0.533468879,0.639261478,0.472101564,0.513266563,0.567069173,1.005461931,-0.532496989,-1.397120476,-0.383499295,-0.836552799,-1.164501905,0.957040846,0.877507627,-2.407689571,-2.28715086
1205,-0.147201985,-0.399757147,0.073333949,-0.00010249,0.000112888,0.473993868,5.117810709,2.059684962,3.465717295,4.931834909,0.559658667,0.535154476,0.638748128,0.472710177,0.513130128,0.566901684,1.007463813,-0.525402069,-1.396762252,-0.383794338,-0.836491466,-1.164461493,0.957036078,0.877249062,-2.407137871,-2.28715992
1206,-0.147099987,-0.399727851,0.073321983,-9.24E-05,0.000143497,0.475278825,5.170482973,2.099684962,3.505717295,4.979243147,0.559620738,0.533949696,0.638013787,0.473291989,0.512973607,0.566706419,1.006533623,-0.523416996,-1.396184087,-0.38390705,-0.83643055,-1.164417267,0.95704931,0.874443471,-2.405292034,-2.287170887
