q_left,q_right,sym_mean,sym_sem,n
0.18333333333333335,0.35,-0.07655491014993075,0.30008687335139106,10
0.26666666666666666,0.35,-0.12861093199027115,0.29333926006967787,10
0.35,0.35,0.0,0.0,10
0.43333333333333335,0.35,0.5485438646818616,0.16152843433439265,10
0.5166666666666666,0.35,0.44897245851815065,0.18125610342602974,10
0.6,0.35,0.44447223275660763,0.2198758698639969,10
0.6833333333333332,0.35,0.1312846960396453,0.21756796472550088,10
0.7666666666666666,0.35,0.40943016418121114,0.2397563517241162,10
0.85,0.35,0.45599126119600797,0.24429050957226817,10
0.9333333333333332,0.35,0.4134850424013831,0.24022773183676926,10
1.0166666666666666,0.35,0.15672832514277868,0.21880833435576488,10
1.1,0.35,0.13630576318490167,0.21023132471837988,10
0.1,0.43333333333333335,-0.39550832751895204,0.3033359278092418,10
0.18333333333333335,0.43333333333333335,-0.18515696853511474,0.31661537030992715,10
0.26666666666666666,0.43333333333333335,-0.2527576084625557,0.2655997472474439,10
0.35,0.43333333333333335,-0.5485438646818616,0.16152843433439265,10
0.43333333333333335,0.43333333333333335,0.0,0.0,10
0.5166666666666666,0.43333333333333335,0.23456732427421315,0.2630071185769145,10
0.6,0.43333333333333335,0.33624991105287283,0.23772492877408932,10
0.6833333333333332,0.43333333333333335,0.34173902765103026,0.21989105429669462,10
0.7666666666666666,0.43333333333333335,0.16473600129773247,0.20667879502085942,10
0.85,0.43333333333333335,0.18258423063589438,0.20768569991462585,10
0.9333333333333332,0.43333333333333335,0.2868561383407614,0.2830395421070661,10
1.0166666666666666,0.43333333333333335,0.2623355500883559,0.25692567061104604,10
1.1,0.43333333333333335,0.2146520118867054,0.26186210807779337,10
0.1,0.5166666666666666,-0.39262298646305577,0.3010147465787635,10
0.18333333333333335,0.5166666666666666,-0.07045957086494324,0.3101384097406731,10
0.26666666666666666,0.5166666666666666,-0.08437888978793226,0.26831372006552945,10
0.35,0.5166666666666666,-0.44897245851815065,0.18125610342602974,10
0.43333333333333335,0.5166666666666666,-0.23456732427421315,0.2630071185769145,10
0.5166666666666666,0.5166666666666666,0.0,0.0,10
0.6,0.5166666666666666,0.30716574949935616,0.2202781772249336,10
0.6833333333333332,0.5166666666666666,0.20212874115895246,0.21238256264914188,10
0.7666666666666666,0.5166666666666666,0.28621008114250013,0.19005775538655667,10
0.85,0.5166666666666666,0.2010934128524414,0.21798893090024013,10
0.9333333333333332,0.5166666666666666,-0.17094525590084567,0.18417148482381754,10
1.0166666666666666,0.5166666666666666,-0.1823265432975864,0.22116298970397694,10
1.1,0.5166666666666666,0.2346896087645752,0.26859244181442465,10
0.1,0.6,-0.4519729231706668,0.2750258164058388,10
0.18333333333333335,0.6,-0.2763377484443329,0.2829054813758341,10
0.26666666666666666,0.6,-0.33466424889130847,0.2749410925342084,10
